event_id,event,driver_id,driver,predicted_pos,actual_pos,error,chaos_score,race_category,driver_affected
56,2025 R4 Bahrain Grand Prix,23,Isack Hadjar,14.0,13,1.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,10,Nico Hulkenberg,14.0,12,2.0,0.0,clean,False
80,2025 R12 British Grand Prix,14,Yuki Tsunoda,14.0,15,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,23,Isack Hadjar,14.0,12,2.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,23,Isack Hadjar,14.0,16,2.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,15,Alexander Albon,14.0,19,5.0,0.5263157894736842,moderate,True
59,2025 R8 Monaco Grand Prix,29,Kimi Antonelli,14.0,18,4.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,27,Franco Colapinto,14.0,16,2.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,25,Liam Lawson,14.0,17,3.0,1.0,chaotic,True
57,2025 R5 Saudi Arabian Grand Prix,5,Fernando Alonso,14.0,11,3.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,4,Carlos Sainz,14.0,10,4.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,28,Jack Doohan,14.0,19,5.0,1.5,chaotic,True
82,2025 R14 Hungarian Grand Prix,4,Carlos Sainz,14.0,14,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,14,Yuki Tsunoda,14.0,9,5.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,15,Alexander Albon,14.0,7,7.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,24,Gabriel Bortoleto,14.0,11,3.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,24,Gabriel Bortoleto,14.0,17,3.0,0.0,clean,False
87,2025 R19 United States Grand Prix,20,Pierre Gasly,14.0,19,5.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,14,Yuki Tsunoda,14.0,11,3.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,26,Oliver Bearman,14.0,10,4.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,14,Yuki Tsunoda,15.0,12,3.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,15,Alexander Albon,15.0,12,3.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,23,Isack Hadjar,15.0,20,5.0,0.0,clean,False
80,2025 R12 British Grand Prix,9,Esteban Ocon,15.0,13,2.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,15,Alexander Albon,15.0,17,2.0,0.75,chaotic,True
78,2025 R10 Canadian Grand Prix,9,Esteban Ocon,15.0,9,6.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,10,Nico Hulkenberg,15.0,5,10.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,26,Oliver Bearman,15.0,12,3.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,24,Gabriel Bortoleto,15.0,18,3.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,24,Gabriel Bortoleto,15.0,18,3.0,1.0,chaotic,True
57,2025 R5 Saudi Arabian Grand Prix,8,Lance Stroll,15.0,16,1.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,20,Pierre Gasly,15.0,20,5.0,0.4,moderate,True
54,2025 R1 Australian Grand Prix,23,Isack Hadjar,15.0,20,5.0,1.5,chaotic,True
82,2025 R14 Hungarian Grand Prix,27,Franco Colapinto,15.0,18,3.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,15,Alexander Albon,15.0,5,10.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,9,Esteban Ocon,15.0,15,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,26,Oliver Bearman,15.0,12,3.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,8,Lance Stroll,15.0,13,2.0,0.0,clean,False
87,2025 R19 United States Grand Prix,27,Franco Colapinto,15.0,17,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,25,Liam Lawson,15.0,20,5.0,1.0,chaotic,True
90,2025 R22 Las Vegas Grand Prix,29,Kimi Antonelli,15.0,3,12.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,10,Nico Hulkenberg,16.0,16,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,10,Nico Hulkenberg,16.0,20,4.0,0.30000000000000004,moderate,True
81,2025 R13 Belgian Grand Prix,4,Carlos Sainz,16.0,18,2.0,0.0,clean,False
80,2025 R12 British Grand Prix,10,Nico Hulkenberg,16.0,3,13.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,10,Nico Hulkenberg,16.0,9,7.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,4,Carlos Sainz,16.0,10,6.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,26,Oliver Bearman,16.0,17,1.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,24,Gabriel Bortoleto,16.0,14,2.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,25,Liam Lawson,16.0,14,2.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,10,Nico Hulkenberg,16.0,14,2.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,26,Oliver Bearman,16.0,13,3.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,14,Yuki Tsunoda,16.0,16,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,10,Nico Hulkenberg,16.0,7,9.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,14,Yuki Tsunoda,16.0,17,1.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,27,Franco Colapinto,16.0,11,5.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,23,Isack Hadjar,16.0,10,6.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,10,Nico Hulkenberg,16.0,16,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,27,Franco Colapinto,16.0,16,0.0,0.0,clean,False
87,2025 R19 United States Grand Prix,24,Gabriel Bortoleto,16.0,18,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,24,Gabriel Bortoleto,16.0,10,6.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,27,Franco Colapinto,16.0,15,1.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,24,Gabriel Bortoleto,17.0,19,2.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,26,Oliver Bearman,17.0,10,7.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,27,Franco Colapinto,17.0,19,2.0,0.0,clean,False
80,2025 R12 British Grand Prix,25,Liam Lawson,17.0,19,2.0,1.0,chaotic,True
79,2025 R11 Austrian Grand Prix,8,Lance Stroll,17.0,14,3.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,24,Gabriel Bortoleto,17.0,14,3.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,4,Carlos Sainz,17.0,14,3.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,27,Franco Colapinto,17.0,13,4.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,14,Yuki Tsunoda,17.0,10,7.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,5,Fernando Alonso,17.0,15,2.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,28,Jack Doohan,17.0,17,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,26,Oliver Bearman,17.0,8,9.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,24,Gabriel Bortoleto,17.0,16,1.0,1.5,chaotic,True
82,2025 R14 Hungarian Grand Prix,20,Pierre Gasly,17.0,19,2.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,10,Nico Hulkenberg,17.0,14,3.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,8,Lance Stroll,17.0,18,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,27,Franco Colapinto,17.0,19,2.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,9,Esteban Ocon,17.0,18,1.0,0.0,clean,False
87,2025 R19 United States Grand Prix,9,Esteban Ocon,17.0,15,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,15,Alexander Albon,17.0,12,5.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,15,Alexander Albon,17.0,16,1.0,0.8499999999999999,chaotic,True
55,2025 R3 Japanese Grand Prix,9,Esteban Ocon,18.0,18,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,25,Liam Lawson,18.0,16,2.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,8,Lance Stroll,18.0,14,4.0,0.0,clean,False
80,2025 R12 British Grand Prix,8,Lance Stroll,18.0,7,11.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,9,Esteban Ocon,18.0,10,8.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,20,Pierre Gasly,18.0,15,3.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,9,Esteban Ocon,18.0,16,2.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,10,Nico Hulkenberg,18.0,16,2.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,10,Nico Hulkenberg,18.0,12,6.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,20,Pierre Gasly,18.0,13,5.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,10,Nico Hulkenberg,18.0,15,3.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,24,Gabriel Bortoleto,18.0,14,4.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,9,Esteban Ocon,18.0,13,5.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,10,Nico Hulkenberg,18.0,13,5.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,9,Esteban Ocon,18.0,10,8.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,27,Franco Colapinto,18.0,17,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,15,Alexander Albon,18.0,13,5.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,15,Alexander Albon,18.0,14,4.0,0.0,clean,False
87,2025 R19 United States Grand Prix,23,Isack Hadjar,18.0,16,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,8,Lance Stroll,18.0,14,4.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,14,Yuki Tsunoda,18.0,12,6.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,28,Jack Doohan,19.0,15,4.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,24,Gabriel Bortoleto,19.0,18,1.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,29,Kimi Antonelli,19.0,16,3.0,0.0,clean,False
80,2025 R12 British Grand Prix,24,Gabriel Bortoleto,19.0,18,1.0,1.0,chaotic,True
79,2025 R11 Austrian Grand Prix,14,Yuki Tsunoda,19.0,16,3.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,8,Lance Stroll,19.0,17,2.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,27,Franco Colapinto,19.0,15,4.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,8,Lance Stroll,19.0,15,4.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,9,Esteban Ocon,19.0,20,1.0,0.5,moderate,True
60,2025 R6 Miami Grand Prix,8,Lance Stroll,19.0,16,3.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,9,Esteban Ocon,19.0,14,5.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,25,Liam Lawson,19.0,12,7.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,26,Oliver Bearman,19.0,14,5.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,15,Alexander Albon,19.0,15,4.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,26,Oliver Bearman,19.0,6,13.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,20,Pierre Gasly,19.0,16,3.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,20,Pierre Gasly,19.0,18,1.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,20,Pierre Gasly,19.0,19,0.0,0.0,clean,False
87,2025 R19 United States Grand Prix,8,Lance Stroll,19.0,12,7.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,20,Pierre Gasly,19.0,15,4.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,24,Gabriel Bortoleto,19.0,17,2.0,0.8499999999999999,chaotic,True
55,2025 R3 Japanese Grand Prix,8,Lance Stroll,20.0,20,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,8,Lance Stroll,20.0,17,3.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,5,Fernando Alonso,20.0,17,3.0,0.0,clean,False
80,2025 R12 British Grand Prix,27,Franco Colapinto,20.0,20,0.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,4,Carlos Sainz,20.0,20,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,25,Liam Lawson,20.0,19,1.0,0.75,chaotic,True
77,2025 R9 Spanish Grand Prix,14,Yuki Tsunoda,20.0,13,7.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,20,Pierre Gasly,20.0,20,0.0,0.5,moderate,True
58,2025 R7 Emilia Romagna Grand Prix,26,Oliver Bearman,20.0,17,3.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,26,Oliver Bearman,20.0,19,1.0,1.0,chaotic,True
57,2025 R5 Saudi Arabian Grand Prix,24,Gabriel Bortoleto,20.0,18,2.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,28,Jack Doohan,20.0,13,7.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,25,Liam Lawson,20.0,15,5.0,1.5,chaotic,True
82,2025 R14 Hungarian Grand Prix,9,Esteban Ocon,20.0,16,4.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,8,Lance Stroll,20.0,7,13.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,25,Liam Lawson,20.0,14,6.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,9,Esteban Ocon,20.0,14,6.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,4,Carlos Sainz,20.0,10,10.0,0.0,clean,False
87,2025 R19 United States Grand Prix,15,Alexander Albon,20.0,14,6.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,27,Franco Colapinto,20.0,16,4.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,7,Lewis Hamilton,20.0,8,12.0,0.8499999999999999,chaotic,False
